total_calls,town_year,total_time,muni,year,A_PS,pop_est,t_rev,t_tax,r_tax
50178.0,bensalem township 2012,1689087.0,bensalem township,2012,22026390.6,60451,49775602.2,16245474.2,11548500.8
46027.0,bristol township 2012,1373679.0,bristol township,2012,12415615.2,54691,41613200.0,20832388.2,13253509.6
31756.0,middletown township 2012,872945.0,middletown township,2012,9097715.0,45477,34042635.6,13223590.0,8806927.8
25584.0,falls township 2012,985940.0,falls township,2012,9187103.6,34367,30925622.2,3219740.6,2299377.2
24790.0,warminster township 2012,663852.0,warminster township,2012,7021603.4,32691,23371518.0,10661879.2,4808437.0
15647.0,northampton township 2012,324636.0,northampton township,2012,5596199.6,39783,30632944.6,13823838.6,6142192.4
14858.0,lower southampton township 2012,347796.0,lower southampton township,2012,4954219.0,19015,21513391.4,9216269.0,4211733.6
14534.0,lower makefield township 2012,318258.0,lower makefield township,2012,4049123.2,32630,26330871.0,8945968.4,7690856.2
12170.0,warrington township 2012,341691.0,warrington township,2012,3653036.0,23210,23597923.6,8048088.8,3532647.8
10756.0,newtown township 2012,235444.0,newtown township,2012,3971275.6,19332,16222837.0,7992184.0,798179.6
10606.0,doylestown township 2012,275932.0,doylestown township,2012,2015439.8,17608,11989637.8,6645618.6,2233365.4
10186.0,bristol borough 2012,243660.0,bristol borough,2012,2407900.8,9739,15751846.4,3927110.6,3805828.4
10165.0,upper southampton township 2012,218079.0,upper southampton township,2012,2297565.6,15223,11570987.2,7750938.8,5048911.6
9032.0,doylestown borough 2012,207186.0,doylestown borough,2012,1978695.8,8381,7471456.6,3158332.6,1124940.8
8837.0,warwick township 2012,183224.0,warwick township,2012,2251274.4,14387,10623272.0,6281540.4,3093427.2
8503.0,hilltown township 2012,203050.0,hilltown township,2012,2867992.6,14955,7686043.8,5205265.8,1585214.0
8160.0,quakertown borough 2012,189430.0,quakertown borough,2012,1852828.2,8995,27237524.2,1343312.6,128688.2
8138.0,richland township 2012,184512.0,richland township,2012,1577676.8,12912,7324992.2,3670908.4,1238317.6
8083.0,buckingham township 2012,203465.0,buckingham township,2012,3191552.2,20011,20275171.4,7059266.2,1454926.6
7682.0,morrisville borough 2012,211816.0,morrisville borough,2012,1535330.2,8793,5609450.8,2544639.0,2437132.8
6171.0,new britain township 2012,145476.0,new britain township,2012,1728319.4,11063,6259673.4,4668538.6,1887086.6
5530.0,plumstead township 2012,142070.0,plumstead township,2012,2252949.8,12441,12416947.6,5105746.8,2206875.2
5344.0,solebury township 2012,117885.0,solebury township,2012,1518017.4,8650,13929902.6,7186388.6,4073095.8
4881.0,perkasie borough 2012,123391.0,perkasie borough,2012,2607789.8,8542,16780262.8,1729670.8,467335.4
4360.0,west rockhill township 2012,116399.0,west rockhill township,2012,969251.4,5240,2808958.4,1821759.6,406217.2
4197.0,upper makefield township 2012,112368.0,upper makefield township,2012,1755002.0,8170,11347695.6,6450409.8,2919710.6
4029.0,tullytown borough 2012,121647.0,tullytown borough,2012,1286377.0,1791,7324821.4,591695.4,277873.8
3742.0,new hope borough 2012,95924.0,new hope borough,2012,1353713.0,2518,4803111.0,1786061.2,626434.4
3216.0,chalfont borough 2012,59070.0,chalfont borough,2012,780438.2,4020,2533113.2,1326418.0,582639.8
3212.0,penndel borough 2012,82915.0,penndel borough,2012,310752.6,2460,1588007.8,347269.6,229105.4
