Municipality Name,Municipality Type,Municipality ID,County Name,Reporting Year,"Pending/
Approved",Total Revenues,Total Expenditures,Revenues Over Expenditures,Revenues,Total Taxes Revenues,Real Estate Tax Revenues,Earned Income Tax Revenues,Realty Transfer Tax Revenues,Local Services Tax Revenues,Per Capita Tax Revenues,Occupational Tax Revenues,Business Gross Receipts Tax Revenues,Amusement and Admissions Tax Revenues,Mechanical Device Tax Revenues,All Other Taxes Revenues,Intergovernmental Revenues-Federal Government,Intergovernmental Revenues-State Government,Intergovernmental Revenues-Local Government,Sewer Revenues,Water Revenues,Solid Waste Revenues,Electric System Revenues,Gas System Revenues,Parking Revenues,Culture and Recreation Revenues,Other Charges for Services Revenues,Licenses and Permits Revenues,Cable TV Franchise Fees Revenues,Fines and Forfeits Revenues,Interest Rents and Royalties Revenues,Contributions and Donations from Private Sectors Revenues,Unclassified Operating Revenues,Other Financing Sources Revenues,Expenditures,General Government Expenditures,Police Expenditures,Fire Expenditures,UCC and Code Enforcement Expenditures,Other Public Safety Expenditures,Health and Human Services Expenditures,Public Works-Highways and Streets Expenditures,Sewer Expenditures,Water Expenditures,Solid Waste Expenditures,Electrical System Expenditures,Gas System Expenditures,Other Public Works Expenditures,Culture and Recreation Expenditures,Libraries Expenditures,Community Development Expenditures,Debt Service Expenditures,Other Expenditures,Unclassified Operating Expenditures,Other Financing Uses Expenditures,Population,Taxes Per Capita,Revenues Per Capita,Expenditures Per Capita,Total General Obligation Bonds and Notes,Total Revenue Bonds and Notes,Total Lease Rental Debt,Total Other Debt,Total Debt,Total Principal Paid,Fund Balance/Retained Earnings 12/31
ABBOTTSTOWN BORO,Borough,10033,ADAMS,2017,A,313496,252848,60648,,254848,117447,109814,4924,19618,3045,0,0,0,0,0,0,38984,0,0,0,0,0,0,0,0,641,0,13503,2064,505,721,0,2230,,95699,0,30225,3094,891,0,49993,0,0,0,0,0,0,9162,0,0,52021,11763,0,0,1011,252.08,310.09,250.1,398586,0,0,0,398586,40000.0,323688
ARENDTSVILLE BORO,Borough,10063,ADAMS,2017,A,562004,859790,-297786,,196004,82102,96263,13840,0,3118,681,0,0,0,0,0,39285,0,166069,148024,0,0,0,0,1282,1168,0,5286,917,2861,0,0,1108,,74229,0,24742,2657,750,0,54721,250738,383786,0,0,0,0,2304,0,0,0,64912,0,951,952,205.89,590.34,903.14,0,0,0,0,0,,641493
BENDERSVILLE BORO,Borough,10093,ADAMS,2017,A,200688,207069,-6381,,123140,39742,71098,8188,0,2601,1511,0,0,0,0,0,22218,0,0,0,0,0,0,0,0,38434,0,3107,1936,10988,0,552,313,,73746,32220,13100,3323,556,0,53308,0,0,0,0,0,0,0,0,0,11551,19144,121,0,641,192.11,313.09,323.04,84347,0,0,0,84347,32003.0,199632
BERWICK TWP,Second Class Township,10125,ADAMS,2017,A,1123380,803869,319511,,506305,99218,307485,33003,4586,7151,0,0,54862,0,0,0,115518,0,389692,0,0,0,0,0,0,18117,2550,30562,12932,43175,0,536,3993,,117584,0,73678,0,34485,2000,149211,264352,0,0,0,0,0,0,0,0,78956,77399,0,6204,2389,211.93,470.23,336.49,0,0,0,372391,372391,74826.0,4658203
BIGLERVILLE BORO,Borough,10153,ADAMS,2017,A,1363588,1176162,187426,,414002,270337,119905,18364,0,4021,1375,0,0,0,0,0,70044,0,445612,291420,0,0,0,0,0,78488,415,12814,15114,10598,0,0,25081,,65516,146449,30235,9002,0,0,52068,342365,170990,0,0,0,0,1500,0,0,66501,274011,0,17525,1200,345.0,1136.32,980.13,0,0,1049464,0,1049464,46757.0,1375126
BONNEAUVILLE BORO,Borough,10183,ADAMS,2017,A,746989,663965,83024,,437998,239441,163753,29136,316,5352,0,0,0,0,0,0,86285,170883,0,0,0,0,0,0,0,3309,80,21323,5766,14364,0,3041,3940,,212984,60533,39710,2865,6136,0,86463,0,0,0,0,0,0,4115,0,0,0,247339,2320,1500,1800,243.33,414.99,368.87,0,0,9917701,0,9917701,0.0,736016
CARROLL VALLEY BORO,Borough,10193,ADAMS,2017,A,4645583,5353955,-708372,,1775357,1125778,538932,98771,0,0,0,0,11876,0,0,0,353184,26716,430901,0,0,0,0,0,32296,174321,700,59563,25301,102070,4445,10697,1650032,,1425686,403222,135615,89407,745,0,623364,189601,0,12700,0,0,0,100749,5628,0,648107,673335,0,1045796,3876,458.04,1198.55,1381.31,2956538,0,0,0,2956538,569671.0,1687680
BUTLER TWP,Second Class Township,10215,ADAMS,2017,A,836341,644494,191847,,491816,154009,295275,33570,0,8962,0,0,0,0,0,0,229376,0,60339,0,0,0,0,0,0,26007,340,14095,3211,668,0,2358,8131,,84844,0,64145,13094,943,1000,278781,47193,0,640,0,0,250,3056,0,0,10927,137264,0,2357,2567,191.59,325.8,251.07,0,0,0,19762,19762,10034.0,659973
CONEWAGO TWP,Second Class Township,10245,ADAMS,2017,A,3847034,3354063,492971,,2676874,1436046,913086,158740,141291,26061,0,0,0,1650,0,0,409762,4760,412,0,1268,0,0,0,13730,567247,0,0,43115,33469,0,10534,85863,,313615,1591358,161070,64322,16034,0,519141,0,38585,176,0,0,278135,46810,2500,10000,103878,126938,1405,80096,7085,377.82,542.98,473.4,104300,0,0,0,104300,100549.0,4845820
CUMBERLAND TWP,Second Class Township,10275,ADAMS,2017,A,4039624,3908774,130850,,2723057,1374729,811907,179791,124863,25923,0,0,205844,0,0,0,457768,132122,0,0,0,0,0,0,6000,258627,13756,114621,60843,36673,3500,28007,204650,,515031,1369728,171724,102876,3698,0,1038139,0,0,0,0,0,97137,86574,0,0,106402,327787,0,89678,6162,441.91,655.57,634.34,1162403,0,180802,0,1343205,67964.0,2689332
